_date,total_clones,unique_clones
2022-03-07,1,1
2022-03-12,1,1
2022-03-16,8,7
2022-03-20,1,1
2022-03-21,2,2
2022-03-27,1,1
2022-03-28,1,1
2022-04-03,1,1
2022-04-04,2,2
2022-04-10,1,1
2022-04-11,2,2
2022-04-17,1,1
2022-04-18,2,2
2022-04-24,1,1
2022-04-25,1,1
2022-05-01,1,1
2022-05-02,4,4
2022-05-08,3,2
2022-05-09,1,1
2022-05-15,1,1
2022-05-16,2,2
2022-05-22,2,2
2022-05-23,2,2
2022-05-29,1,1
2022-05-30,3,3
2022-06-05,1,1
2022-06-06,3,3
2022-06-12,1,1
2022-06-13,2,2
2022-06-19,1,1
2022-06-20,3,3
2022-06-26,1,1
2022-06-27,2,2
2022-07-03,1,1
2022-07-05,1,1
2022-07-10,1,1
2022-07-11,2,2
2022-07-17,1,1
2022-07-18,2,2
2022-07-24,2,2
2022-07-25,3,3
2022-07-31,1,1
2022-08-01,2,2
2022-08-02,1,1
2022-08-07,1,1
2022-08-08,4,3
2022-08-14,1,1
2022-08-15,2,2
2022-08-21,1,1
2022-08-28,1,1
2022-09-04,1,1
2022-09-05,1,1
2022-09-11,1,1
2022-09-19,2,2
2022-09-26,2,2
2022-10-03,1,1
2022-10-10,2,2
2022-10-17,1,1
2022-10-24,1,1
2022-10-25,1,1
2022-10-30,2,2
2022-10-31,3,3
2022-11-06,1,1
2022-11-07,1,1
2022-11-13,1,1
2022-11-14,1,1
2022-11-15,1,1
2022-11-20,1,1
2022-11-21,2,2
2022-11-27,1,1
2022-11-28,2,2
2022-12-04,1,1
2022-12-07,2,1
2022-12-11,1,1
2022-12-12,1,1
2022-12-18,1,1
2022-12-21,1,1
2022-12-25,1,1
2022-12-26,2,2
2023-01-01,1,1
2023-01-02,1,1
2023-01-03,4,2
2023-01-04,1,1
2023-01-08,2,2
2023-01-09,1,1
2023-01-10,1,1
2023-01-15,1,1
2023-01-16,3,3
2023-01-22,1,1
2023-01-23,3,3
2023-01-29,1,1
2023-01-30,2,2
2023-02-05,1,1
2023-02-12,1,1
2023-02-13,1,1
2023-02-19,1,1
2023-02-20,1,1
2023-02-25,2,1
2023-02-26,1,1
2023-03-02,3,2
2023-03-05,2,2
2023-03-06,3,3
2023-03-07,1,1
2023-03-12,1,1
2023-03-13,2,2
2023-03-19,1,1
2023-03-20,2,2
2023-03-26,1,1
2023-03-27,2,2
2023-04-02,1,1
2023-04-03,1,1
2023-04-09,1,1
2023-04-10,1,1
2023-04-11,1,1
2023-04-16,1,1
2023-04-17,2,2
2023-04-23,1,1
2023-04-24,3,2
2023-04-30,1,1
2023-05-01,3,2
2023-05-03,1,1
2023-05-07,1,1
2023-05-08,3,2
2023-05-14,1,1
2023-05-15,3,2
2023-05-18,1,1
2023-05-21,3,2
2023-05-22,4,3
2023-05-27,1,1
2023-05-28,2,2
2023-05-29,5,4
2023-05-30,1,1
2023-06-04,1,1
2023-06-05,4,3
2023-06-11,1,1
2023-06-12,3,2
2023-06-18,1,1
2023-06-19,3,2
2023-06-21,2,1
2023-06-25,1,1
2023-06-26,5,4
2023-07-01,1,1
2023-07-02,1,1
2023-07-03,4,3
2023-07-09,1,1
2023-07-10,3,2
2023-07-16,1,1
2023-07-17,3,2
2023-07-23,1,1
2023-07-24,3,2
2023-07-25,1,1
2023-07-28,4,3
2023-07-30,1,1
2023-07-31,3,2
2023-08-06,3,2
2023-08-07,3,2
2023-08-08,2,1
2023-08-13,1,1
2023-08-14,3,2
2023-08-20,1,1
2023-08-21,4,3
2023-08-27,1,1
2023-08-28,5,4
2023-09-03,1,1
2023-09-04,4,3
2023-09-06,2,1
2023-09-10,1,1
2023-09-11,3,2
2023-09-14,1,1
2023-09-17,2,2
2023-09-18,5,4
2023-09-24,1,1
2023-09-25,1,1
2023-10-01,1,1
2023-10-02,1,1
2023-10-08,1,1
2023-10-09,1,1
2023-10-10,2,1
2023-10-13,1,1
2023-10-15,1,1
2023-10-16,1,1
2023-10-22,1,1
2023-10-23,2,2
2023-10-29,1,1
2023-10-30,3,3
2023-11-05,1,1
2023-11-06,2,2
2023-11-12,1,1
2023-11-13,2,2
2023-11-19,1,1
2023-11-20,2,2
2023-11-26,1,1
2023-11-27,2,2
2023-12-03,1,1
2023-12-04,2,2
2023-12-10,1,1
2023-12-11,2,2
2023-12-14,1,1
2023-12-17,1,1
2023-12-18,2,2
2023-12-24,1,1
2023-12-25,3,3
2023-12-30,3,2
2023-12-31,1,1
2024-01-01,2,2
2024-01-07,1,1
2024-01-08,2,2
2024-01-13,2,2
2024-01-14,1,1
2024-01-15,3,3
